Species,Site,Introduced_status
Penstemon cyananthus,rhf,Native
Petradoria pumila,rhf,Native
Calochortus nuttallii,rhf,Native
Castilleja linariifolia,rhf,Native
Elymus smithii,rhf,Native
Symphyotrichum ascendens,rhf,Native
Carex geyeri,rhf,Native
Osmorhiza occidentalis,rhf,Native
Delphinium occidentale,rhf,Native
Apocynum androsaemifolium,rhf,Native
Astragalus cibarius,rhf,Native
Leucopoa kingii,rhf,Native
Antennaria microphylla,rhf,Native
Clematis columbiana,rhf,Native
Packera streptanthifolia,rhf,Native
Shepherdia canadensis,rhf,Native
Eucephalus engelmannii,rhf,Native
Senecio serra,rhf,Native
Boechera divaricarpa,rhf,Native
Penstemon compactus,rhf,Native
Linaria dalmatica,rhf,Introduced
Arabis nuttallii,rhf,Native
Lomatium ambiguum,rhf,Native
Agoseris grandiflora,rhf,Native
Phacelia linearis,rhf,Native
Erysimum capitatum,rhf,Native
Viola nuttallii,rhf,Native
Carex geyeri,rhf,Native
Triteleia grandiflora,rhf,Native
Sambucus cerulea,rhf,Native
Mitella stauropetala,rhf,Native
Epilobium angustifolium ,rhf,Native
Agoseris glauca,rhf,Native
Festuca kingii,rhf,Native
Dieteria canescens,rhf,Native
Perideridia montana,rhf,Native
Potentilla gracilis,rhf,Native
Camassia quamash,rhf,Native
Erythronium grandiflorum,rhf,Native
Ericameria nauseosa,rhf,Native
Heliomeris multiflora,rhf,Native
Castilleja applegatei,rhf,Native
Madia glomerata,rhf,Native
Orthocarpus holmgreniorum,rhf,Native
Stipa lettermanii,rhf,Native
Juncus confusus,rhf,Native
Erigeron cronquistii,rhf,Native
Microseris nutans,rhf,Native
Juniperus scopulorum,rhf,Native
Cercocarpus ledifolius,rhf,Native
Lonicera utahensis ,rhf,Native
Sedum rhodanthum,rhf,Native
Chaenactis douglasii,rhf,Native
Valeriana occidentalis,rhf,Native
Nemophila parviflora,rhf,Native
Festuca idahoensis,rhf,Native
Agoseris aurantiaca,rhf,Native
Ipomopsis aggregata,rhf,Native
Eriogonum caespitosum,rhf,Native
Carex praegracilis,rhf,Native
Viola adunca,rhf,Native
Lomatium bicolor,rhf,Native
Aster engelmannii,rhf,Native
Achnatherum hymenoids,rhf,Native
Ribes montigenum,rhf,Native
Xyris elliottii,Archbold,Native
Syngonanthus flavidulus,Archbold,Native
Andropogon virginicus,Archbold,Native
Paepalanthus beyrichianus,Archbold,Native
Tillandsia recurvata,Archbold,Native
Anatherum capillipes,Archbold,Native
Opuntia austrina,Archbold,Native
Meliotus officinalis,rhf,Introduced
Achnatherum hymenoides,rhf,Native
