Species,Site,Introduced_status
Lysimachia vulgaris,uk,Native
Rumex obtusifolius,uk,Native
Sparganium erectum,uk,Native
Achillea millefolium,uk,Native
Ilex aquifolium,uk,Native
Rumex sanguineus,uk,Native
Taraxacum officinale,uk,Native
Vicia sativa,uk,Introduced
Geum urbanum,uk,Native
Origanum vulgare,uk,Native
Hypericum calycinum,uk,Introduced
Vicia sepium,uk,Native
Symphytum officinale,uk,Native
Epilobium parviflorum,uk,Native
Alisma plantago-aquatica,uk,Native
Epilobium tetragonum,uk,Native
Vicia hirsuta,uk,Native
Holcus lanatus,uk,Native
Vinca major,uk,Introduced
Galium aparine,uk,Native
Lonicera periclymenum,uk,Native
Cardamine flexuosa,uk,Native
Chrysosplenium oppositifolium,uk,Native
Oxalis acetosella,uk,Native
Pseudotsuga menziesii,uk,Introduced
Silene latifolia,uk,Introduced
Potentilla sterilis,uk,Native
Rhododendron ponticum,uk,Introduced
Veronica hederifolia,uk,Introduced
Eupatorium cannabinum,uk,Native
Acer pseudoplatanus,uk,Introduced
Leucanthemum vulgare,uk,Native
Lunaria annua,uk,Introduced
Plantago major,uk,Native
Pyrus communis,uk,Introduced
Ulex europaeus,uk,Native
Viburnum opulus,uk,Native
Zea mays,uk,Introduced
Anthriscus sylvestris,uk,Native
Cardamine hirsuta,uk,Native
Crataegus monogyna,uk,Native
Geranium pratense,uk,Native
Hedera helix,uk,Native
Prunus padus,uk,Native
Urtica dioica,uk,Native
Viola riviniana,uk,Native
Pilosella officinarum,uk,Native
Silene vulgaris,uk,Native
Fagus sylvatica,uk,Native
Chelidonium majus,uk,Introduced
Clinopodium vulgare,uk,Native
Cymbalaria muralis,uk,Introduced
Euphorbia peplus,uk,Introduced
Lathyrus pratensis,uk,Native
Reseda lutea,uk,Native
Luzula campestris,uk,Native
Claytonia perfoliata,uk,Introduced
Ribes sanguineum,uk,Introduced
Carduus nutans,uk,Native
Centaurea scabiosa,uk,Native
Hordeum vulgare,uk,Introduced
Ranunculus repens,uk,Native
Triticum aestivum,uk,Introduced
Veronica montana,uk,Native
Rosa dumalis,uk,Native
Circaea lutetiana,uk,Native
Impatiens glandulifera,uk,Introduced
Stellaria media,uk,Native
Agrostemma githago,uk,Introduced
Antirrhinum majus,uk,Introduced
Aquilegia vulgaris,uk,Native
Geranium lucidum,uk,Native
Geranium phaeum,uk,Introduced
Prunus cerasifera,uk,Introduced
Syringa vulgaris,uk,Introduced
Tanacetum parthenium,uk,Introduced
Raphanus raphanistrum,uk,Introduced
Phragmites australis,uk,Native
Tanacetum vulgare,uk,Native
Borago officinalis,uk,Introduced
Larix decidua,uk,Introduced
Papaver cambricum,uk,Native
Aegopodium podagraria,uk,Introduced
Tussilago farfara,uk,Native
Tropaeolum majus,uk,Introduced
Vinca minor,uk,Introduced
Prunus avium,uk,Native
Salix caprea,uk,Native
Trifolium pratense,uk,Native
Sambucus nigra,uk,Native
Gnaphalium uliginosum,uk,Native
Viola arvensis,uk,Introduced
Rhinanthus minor,uk,Native
Fritillaria meleagris,uk,Introduced
Aethusa cynapium,uk,Native
Elymus repens,uk,Native
Quercus rubra,uk,Introduced
Senecio vulgaris,uk,Native
Sorbus aucuparia,uk,Native
Quercus palustris,uk,Introduced
Rosa canina,uk,Native
Rosa rugosa,uk,Introduced
Rubus fruticosus,uk,Native
Erodium cicutarium,uk,Native
Euphorbia lathyris,uk,Introduced
Mahonia aquifolium,uk,Introduced
Campanula trachelium,uk,Native
Verbascum thapsus,uk,Native
Acer platanoides,uk,Introduced
Ailanthus altissima,uk,Introduced
Calluna vulgaris,uk,Native
Capsella bursa-pastoris,uk,Introduced
Sisymbrium officinale,uk,Introduced
Cotoneaster horizontalis,uk,Introduced
Geum rivale,uk,Native
Nymphoides peltata,uk,Native
Achillea ptarmica,uk,Native
Beta vulgaris,uk,Native
Cornus sanguinea,uk,Native
Pastinaca sativa,uk,Native
Rosa spinosissima,uk,Native
Betula pendula,uk,Native
Malus sylvestris,uk,Native
Geranium sanguineum,uk,Native
Papaver somniferum,uk,Introduced
Populus alba,uk,Introduced
Buxus sempervirens,uk,Native
Senecio viscosus,uk,Native
Carduus crispus,uk,Native
Fragaria vesca,uk,Native
Hirschfeldia incana,uk,Introduced
Reseda luteola,uk,Introduced
Trifolium arvense,uk,Native
Urtica urens,uk,Introduced
Rubus fruticosus,uk,Native
Blackstonia perfoliata,uk,Native
Clematis vitalba,uk,Native
Epipactis palustris,uk,Native
Gymnadenia conopsea,uk,Native
Rubus fruticosus,uk,Native
Hieracium umbellatum,uk,Native
Lotus corniculatus,uk,Native
Oenothera glazioviana,uk,Introduced
Phalaris arundinacea,uk,Native
Populus tremula,uk,Native
Sonchus asper,uk,Native
Trifolium hybridum,uk,Introduced
Viburnum lantana,uk,Native
Cornus sericea,uk,Introduced
Hesperis matronalis,uk,Introduced
Ranunculus sceleratus,uk,Native
Torilis japonica,uk,Native
Arctium minus,uk,Native
Calystegia sepium,uk,Native
Filipendula vulgaris,uk,Native
Quercus cerris,uk,Introduced
Saxifraga granulata,uk,Native
Agrostis capillaris,uk,Native
Agrostis stolonifera,uk,Native
Alnus glutinosa,uk,Native
Alopecurus pratensis,uk,Native
Angelica sylvestris,uk,Native
Anthoxanthum odoratum,uk,Native
Arrhenatherum elatius,uk,Native
Atriplex patula,uk,Native
Rubus fruticosus,Reinischkogel,Native
Ballota nigra,uk,Introduced
Betula pubescens,uk,Native
Brachypodium sylvaticum,uk,Native
Brassica rapa,uk,Introduced
Bromus hordeaceus,uk,Native
Bromus sterilis,uk,Introduced
Buddleja davidii,uk,Introduced
Carex hirta,uk,Native
Castanea sativa,uk,Introduced
Centranthus ruber,uk,Introduced
Cerastium fontanum,uk,Native
Cerastium glomeratum,uk,Native
Cichorium intybus,uk,Introduced
Cochlearia danica,uk,Native
Conium maculatum,uk,Introduced
Conopodium majus,uk,Native
Cynosurus cristatus,uk,Native
Cytisus scoparius,uk,Native
Elymus caninus,uk,Native
Rubus fruticosus,uk,Native
Epilobium montanum,uk,Native
Epilobium palustre,uk,Native
Festuca ovina,uk,Native
Fumaria officinalis,uk,Introduced
Galinsoga quadriradiata,uk,Introduced
Galium mollugo,uk,Native
Galium palustre,uk,Native
Geranium molle,uk,Native
Geranium pyrenaicum,uk,Native
Glyceria fluitans,uk,Native
Juniperus communis,uk,Native
Lactuca serriola,uk,Introduced
Laurus nobilis,uk,Introduced
Linum catharticum,uk,Native
Lolium perenne,uk,Native
Melilotus altissimus,uk,Introduced
Moehringia trinervia,uk,Native
Mycelis muralis,uk,Native
Myosotis laxa,uk,Native
Myosotis sylvatica,uk,Native
Narcissus pseudonarcissus,uk,Native
Rubus parviflorus,rhf,Native
Oenothera biennis,uk,Introduced
Petasites hybridus,uk,Native
Phleum pratense,uk,Native
Poa annua,uk,Native
Poa trivialis,uk,Native
Polygonum aviculare,uk,Native
Potentilla erecta,uk,Native
Quercus petraea,uk,Native
Ranunculus acris,uk,Native
Ranunculus bulbosus,uk,Native
Rumex acetosa,uk,Native
Rumex crispus,uk,Native
Scrophularia auriculata,uk,Native
Scutellaria galericulata,uk,Native
Solidago canadensis,uk,Introduced
Sonchus arvensis,uk,Native
Symphoricarpos albus,uk,Introduced
Taxus baccata,uk,Native
Tilia cordata,uk,Native
Trifolium medium,uk,Native
Vicia tetrasperma,uk,Native
Arctium lappa,uk,Introduced
Chenopodium album,uk,Native
Juncus bufonius,uk,Native
Milium effusum,uk,Native
Rubus idaeus,uk,Native
Tilia platyphyllos,uk,Introduced
Arenaria serpyllifolia,uk,Native
Bolboschoenus maritimus,uk,Native
Echium plantagineum,uk,Introduced
Phacelia tanacetifolia,uk,Introduced
Carex sylvatica,uk,Native
Frangula alnus,uk,Native
Succisa pratensis,uk,Native
Lysimachia nummularia,uk,Native
Rhus typhina,uk,Introduced
Hyoscyamus niger,uk,Introduced
Alcea rosea,uk,Introduced
Polemonium caeruleum,uk,Native
Juglans regia,uk,Introduced
Stellaria neglecta,uk,Native
Asparagus officinalis,uk,Introduced
Alopecurus myosuroides,uk,Introduced
Mercurialis annua,uk,Introduced
Dianthus barbatus,uk,Introduced
Malva neglecta,uk,Introduced
Sonchus oleraceus,uk,Native
Salix purpurea,uk,Native
Trifolium micranthum,uk,Native
Erica tetralix,uk,Native
Eriophorum angustifolium,uk,Native
Narthecium ossifragum,uk,Native
Sedum album,uk,Introduced
Epipactis helleborine,uk,Native
Coriandrum sativum,uk,Introduced
Erica cinerea,uk,Native
Molinia caerulea,uk,Native
Rumex acetosella,uk,Native
Agrostis canina,uk,Native
Carex nigra,uk,Native
Carex pilulifera,uk,Native
Carex rostrata,uk,Native
Danthonia decumbens,uk,Native
Hypochaeris radicata,uk,Native
Juncus acutiflorus,uk,Native
Juncus squarrosus,uk,Native
Pedicularis sylvatica,uk,Native
Malus domestica,uk,Introduced
Drosera rotundifolia,uk,Native
Sarracenia purpurea,uk,Introduced
Agrostis vinealis,uk,Native
Aira praecox,uk,Native
Carex echinata,uk,Native
Galium saxatile,uk,Native
Juncus tenuis,uk,Introduced
Ranunculus flammula,uk,Native
Senecio sylvaticus,uk,Native
Veronica scutellata,uk,Native
Galega officinalis,uk,Introduced
Lactuca sativa,uk,Introduced
Anthyllis vulneraria,uk,Native
Sagina procumbens,uk,Native
Veronica arvensis,uk,Native
Alnus incana,uk,Introduced
Atriplex hortensis,uk,Introduced
Coronilla varia,uk,Introduced
Hypericum humifusum,uk,Native
Lamium amplexicaule,uk,Introduced
Primula farinosa,uk,Native
Convallaria majalis,uk,Native
Polygonatum multiflorum,uk,Native
Centaurea cyanus,uk,Introduced
Primula elatior,uk,Native
Lonicera xylosteum,uk,Introduced
Campanula rotundifolia,uk,Native
Smyrnium olusatrum,uk,Introduced
Luzula sylvatica,uk,Native
Hippophae rhamnoides,uk,Native
Quercus ilex,uk,Introduced
Rumex conglomeratus,uk,Native
Pinguicula vulgaris,uk,Native
Veronica officinalis,uk,Native
Onobrychis viciifolia,uk,Introduced
Hordeum murinum,uk,Introduced
Ranunculus lingua,uk,Native
Melampyrum pratense,uk,Native
Barbarea vulgaris,uk,Native
Plantago coronopus,uk,Native
Rubus chamaemorus,uk,Native
Cakile maritima,uk,Native
Sedum anglicum,uk,Native
Sedum acre,uk,Native
Vaccinium oxycoccos,uk,Native
Crambe maritima,uk,Native
Robinia pseudoacacia,uk,Introduced
Armeria maritima,uk,Native
Claytonia sibirica,uk,Introduced
Vaccinium vitis-idaea,uk,Native
Vaccinium myrtillus,uk,Native
Euphorbia paralias,uk,Native
Inula helenium,uk,Introduced
Lathyrus latifolius,uk,Introduced
Hypericum tetrapterum,uk,Native
Nigella damascena,uk,Introduced
