"","species","SLA"
"94","Hordeum murinum","34.5421954368932"
"95","Deschampsia flexuosa","17.266064516129"
"96","Rumex acetosa","31.2337672983824"
"97","Brassica napus","24.805"
"98","Helminthotheca echioides","21.7654837334319"
"99","Capsella bursa-pastoris","29.5958283209091"
"100","Juncus effusus","9.21830191226316"
"101","Vicia sativa","27.5850878118584"
"102","Phragmites australis","15.02978236832"
"103","Crepis capillaris","42.2164184"
"104","Fraxinus excelsior","12.4712907445062"
"105","Stellaria media","51.3528864717647"
"106","Crepis vesicaria","28.6279189189189"
"107","Festuca myuros","20.4989165161391"
"108","Plantago major","21.7863851375926"
"109","Polygonum aviculare","26.9909661179167"
"110","Fagus sylvatica","15.1312086914368"
"111","Myosotis secunda","35.2009563545714"
"112","Sonchus asper","24.1478616986667"
"113","Poa nemoralis","49.9"
"114","Hedera helix","11.850317826087"
"115","Geranium columbinum","27.45"
"116","Lonicera periclymenum","14.2"
"117","Geranium robertianum","36.6050986026087"
"118","Potentilla sterilis","24.6"
"119","Angelica sylvestris","26.93231906"
"120","Pteridium aquilinum","17.7984489515385"
"121","Corylus avellana","19.4326653124865"
"122","Calluna vulgaris","11.2354173508484"
"123","Ilex aquifolium","6.27795538550501"
"124","Sorbus aucuparia","10.7430853767383"
"125","Geranium pusillum","26.883119102"
"126","Hypochaeris radicata","22.3831801463333"
"127","Stellaria graminea","32.70140609"
"128","Calystegia sepium","36.8815384615385"
"129","Cardamine pratensis","22.993097899"
"130","Galium palustre","33.7345"
"131","Lycopus europaeus","63.076"
"132","Lathyrus nissolia","19.4291666666667"
"133","Rosa arvensis","21.975"
"134","Salix caprea","12.5110544004675"
"135","Juncus inflexus","4.34110675358333"
"136","Lotus pedunculatus","25.936472"
"137","Hordeum secalinum","33.2666666666667"
"138","Potentilla reptans","25.5120197681481"
"139","Ranunculus acris","22.0026951640426"
"140","Mentha arvensis","43.8026923076923"
"141","Salix fragilis","8.71230940310211"
"142","Mentha aquatica","29.3932"
"143","Oenanthe crocata","41.6"
"144","Veronica arvensis","27.7401275"
"145","Epilobium tetragonum","15.9"
"146","Sherardia arvensis","22.4180885714286"
"147","Carex sylvatica","30.9"
"148","Circaea lutetiana","36.7"
"149","Parentucellia viscosa","27.2626185163891"
"150","Crepis paludosa","37"
"151","Viola riviniana","24.7666666666667"
"152","Hypericum perforatum","29.3162470751429"
"153","Rubus ulmifolius","13.118"
"154","Impatiens noli-tangere","45.38148148"
"155","Veronica serpyllifolia","22.8613434914286"
"156","Epilobium palustre","35.0943019678571"
"157","Carex remota","25.75"
"158","Juncus conglomeratus","4.984"
"159","Plantago lanceolata","19.2313444539735"
"160","Vulpia bromoides","21.7510825"
"161","Rosa canina","12.3085283065587"
"162","Cardamine hirsuta","27.7555676923077"
"163","Festuca rubra","11.4091191338158"
"164","Odontites vernus","20.7037921118919"
"165","Senecio erucifolius","14.3766666666667"
"166","Leontodon hispidus","24.2823352773333"
"167","Cerastium arvense","47.1764401384091"
"168","Agrimonia eupatoria","18.69215021375"
"169","Ervum tetraspermum","23.4743764111208"
"170","Rosa dumalis","9.35305594223684"
"171","Hyacinthoides non-scripta","21.2333333333333"
"172","Acer pseudoplatanus","14.6957418110658"
"173","Fumaria officinalis","28.538008658"
"174","Lathyrus pratensis","35.7433705855263"
"175","Chamaenerion angustifolium","25.9338071204378"
"176","Atropa belladonna","30.6057142857143"
"177","Quercus petraea","9.80749634340223"
"178","Vinca major","15.01537"
"179","Primula vulgaris","28.6"
"180","Cardamine flexuosa","40.87157"
"181","Persicaria hydropiper","30.3125817848387"
"182","Arum maculatum","33.26"
"183","Centaurea scabiosa","19.6309122222222"
"184","Carex canescens","26.3890909090909"
"185","Vicia sepium","36.4687149142105"
"186","Alliaria petiolata","47.0135"
"187","Lapsana communis","44.9232892607143"
"188","Salix cinerea","9.42294646000235"
"189","Stellaria holostea","30.981700233"
"190","Prunus avium","13.0970642637927"
"191","Iris pseudacorus","14.9235714285714"
"192","Equisetum fluviatile","10.978076365"
"193","Myosotis scorpioides","47.8561058657143"
"194","Hypericum tetrapterum","36.1"
"195","Schedonorus giganteus","26.4647006141925"
"196","Asperula cynanchica","27.672"
"197","Potentilla anserina","44.1808173146341"
"198","Avenella flexuosa","26.4647006141925"
"199","Myosotis arvensis","28.6365778375"
"200","Betula pendula","15.1445311045607"
"201","Anthoxanthum odoratum","34.1511530956164"
"202","Scorzoneroides autumnalis","25.82912"
"203","Geranium molle","27.7800066666667"
"204","Jacobaea vulgaris","25.32119"
"205","Bromus ramosus","22.5333333333333"
"206","Hyacinthoides x massartiana","22.9714285714286"
"207","Achillea millefolium","15.1051027596197"
"208","Rumex acetosella","26.433089602093"
"209","Lathyrus latifolius","18.7"
"210","Myosotis sylvatica","29.68"
"211","Holcus mollis","38.9133333333333"
"212","Betula pubescens","13.3996451045635"
"213","Alnus glutinosa","14.9289468413254"
"214","Impatiens glandulifera","38.3"
"215","Dryopteris filix-mas","24.2"
"216","Taxus baccata","7.01832715030529"
"217","Luzula campestris","24.3901697261538"
"218","Carex muricata","16.57449026875"
"219","Rubus pruinosus","18.8135206601145"
"220","Pilosella officinarum","14.4839690928571"
"221","Digitalis purpurea","17.5768771428571"
"222","Linum tenuifolium","32.0787065420833"
"223","Veronica officinalis","38.9405898148148"
"224","Carex riparia","12.1969127557778"
"225","Carex hirta","17.9362895106667"
"226","Equisetum arvense","10.8995626385993"
"227","Erigeron canadensis","22.1560867261176"
"228","Populus tremuloides","13.3040755503975"
"229","Juncus tenuis","14.4385169951667"
"230","Acer rubrum","20.5199952509436"
"231","Athyrium filix-femina","22.6866666666667"
"232","Lonicera caerulea","8.99685559842555"
"233","Poa Annua","23.5241402640964"
"234","Prunus cerasus","16.9981523566738"
"235","Lysimachia nummularia","32.3609993575"
"236","Ranunculus sardous","34.734"
"237","Festuca arundinacea","25.2987842171353"
"238","Sanguisorba minor","19.7292523409091"
"239","Vicia parviflora","26.811068178144"
"240","Luzula Campestris","22.9779181435466"
"241","Veronica agrestis","55.2"
"242","Impatiens parviflora","144.089"
"243","Hydrocotyle sibthorpioides","30.6867857142857"
"244","Acer tataricum","19.2851565027035"
"245","Festuca gigantea","28.7333333333333"
"246","Myosotis discolor","30.3319383333333"
"247","Impatiens capensis","54.3"
"248","Crataegus marshallii","12.8023669304411"
"249","Stellaria alsine","38.6997515222826"
"250","Hieracium pilosella","19.7807496131818"
"251","Asparagus aculeatus","10.2686945840588"
"252","Pinus brutia","6.27037555144187"
"253","Puccinellia distans","21.9963636363636"
"254","Festuca heterophylla","20.4989165161391"
"255","Quercus pubescens","10.9673940808889"
"256","Ruscus aculeatus","13.7566666666667"
"257","Trifolium arvense","19.51189041"
"258","Trifolium campestre","27.0833333333333"
"259","Cynosurus echinatus","53.2696040161145"
"260","Lagurus ovatus","26.4647006141925"
"261","Ulmus minor","24.2025"
"262","Avena barbata","30.8420543267925"
"263","Briza media","21.4423303152"
"264","Oxalis corniculata","41.956"
"265","Artemisia vulgaris","24.122352942"
"266","Smilax aspera","14.69"
"267","Sorghum halepense","20.7433"
"268","Setaria glauca","23.7821511618519"
"269","Symphyotrichum subulatum","17.7766315789474"
"270","Conyza canadensis","20.558053734"
"271","Trifolium pratense","22.5840299382692"
"272","Equisetum telmateia","16.1849666666667"
"273","Digitaria sanguinalis","35.038"
"274","Fragaria viridis","16.8140768145455"
"275","Solanum nigrum","25.225"
"276","Bejaria racemosa","11.0957786791366"
"277","Lyonia lucida","6.87530897842105"
"278","Smilax auriculata","17.365"
"279","Lyonia fruticosa","10.9788742074269"
"280","Quercus myrtifolia","3.92950393081761"
"281","Serenoa repens","16.6789778341411"
"282","Quercus inopina","10.5635005455442"
"283","Selaginella arenicola","28.814"
"284","Geobalanus oblongifolius","14.6513405903166"
"285","Aristida gyrans","1.8769"
"286","Polygonum polygamum","33.0504714327721"
"287","Ceratiola ericoides","11.0957786791366"
"288","Rhynchospora megalocarpa","14.266"
"289","Quercus chapmanii","3.57560694803244"
"290","Quercus geminata","5.07947268086676"
"291","Gaylussacia dumosa","14.8045113"
